74.png	nauseated face	🤢️	\U0001F922\U0000FE0F	U+1F922	nauseated face
75.png	face vomiting	🤮️	\U0001F92E\U0000FE0F	U+1F92E	face vomiting
76.png	sneezing face	🤧️	\U0001F927\U0000FE0F	U+1F927	sneezing face
77.png	smiling face with halo	😇️	\U0001F607\U0000FE0F	U+1F607	smiling face with halo
78.png	cowboy hat face	🤠️	\U0001F920\U0000FE0F	U+1F920	cowboy hat face
79.png	clown face	🤡️	\U0001F921\U0000FE0F	U+1F921	clown face
80.png	lying face	🤥️	\U0001F925\U0000FE0F	U+1F925	lying face
81.png	shushing face	🤫️	\U0001F92B\U0000FE0F	U+1F92B	shushing face
82.png	face with hand over mouth	🤭️	\U0001F92D\U0000FE0F	U+1F92D	face with hand over mouth
83.png	face with monocle	🧐️	\U0001F9D0\U0000FE0F	U+1F9D0	face with monocle
84.png	nerd face	🤓️	\U0001F913\U0000FE0F	U+1F913	nerd face
85.png	smiling face with horns	😈️	\U0001F608\U0000FE0F	U+1F608	smiling face with horns
86.png	angry face with horns	👿️	\U0001F47F\U0000FE0F	U+1F47F	angry face with horns
87.png	ogre	👹️	\U0001F479\U0000FE0F	U+1F479	ogre
88.png	goblin	👺️	\U0001F47A\U0000FE0F	U+1F47A	goblin
89.png	skull	💀️	\U0001F480\U0000FE0F	U+1F480	skull
90.png	skull and crossbones	☠️	\U00002620\U0000FE0F	U+2620	skull and crossbones
91.png	ghost	👻️	\U0001F47B\U0000FE0F	U+1F47B	ghost
92.png	alien	👽️	\U0001F47D\U0000FE0F	U+1F47D	alien
93.png	alien monster	👾️	\U0001F47E\U0000FE0F	U+1F47E	alien monster
94.png	robot face	🤖️	\U0001F916\U0000FE0F	U+1F916	robot face
95.png	pile of poo	💩️	\U0001F4A9\U0000FE0F	U+1F4A9	pile of poo
96.png	grinning cat face	😺️	\U0001F63A\U0000FE0F	U+1F63A	grinning cat face
97.png	grinning cat face with smiling eyes	😸️	\U0001F638\U0000FE0F	U+1F638	grinning cat face with smiling eyes
98.png	cat face with tears of joy	😹️	\U0001F639\U0000FE0F	U+1F639	cat face with tears of joy
99.png	smiling cat face with heart-eyes	😻️	\U0001F63B\U0000FE0F	U+1F63B	smiling cat face with heart-eyes
100.png	cat face with wry smile	😼️	\U0001F63C\U0000FE0F	U+1F63C	cat face with wry smile
101.png	kissing cat face	😽️	\U0001F63D\U0000FE0F	U+1F63D	kissing cat face
102.png	weary cat face	🙀️	\U0001F640\U0000FE0F	U+1F640	weary cat face
103.png	crying cat face	😿️	\U0001F63F\U0000FE0F	U+1F63F	crying cat face
104.png	pouting cat face	😾️	\U0001F63E\U0000FE0F	U+1F63E	pouting cat face
105.png	see-no-evil monkey	🙈️	\U0001F648\U0000FE0F	U+1F648	see-no-evil monkey
106.png	hear-no-evil monkey	🙉️	\U0001F649\U0000FE0F	U+1F649	hear-no-evil monkey
107.png	speak-no-evil monkey	🙊️	\U0001F64A\U0000FE0F	U+1F64A	speak-no-evil monkey
108.png	baby	👶️	\U0001F476\U0000FE0F	U+1F476	baby
109.png	baby: light skin tone	👶🏻️	\U0001F476\U0001F3FB\U0000FE0F	U+1F476 U+1F3FB	baby: light skin tone
110.png	baby: medium-light skin tone	👶🏼️	\U0001F476\U0001F3FC\U0000FE0F	U+1F476 U+1F3FC	baby: medium-light skin tone
111.png	baby: medium skin tone	👶🏽️	\U0001F476\U0001F3FD\U0000FE0F	U+1F476 U+1F3FD	baby: medium skin tone
112.png	baby: medium-dark skin tone	👶🏾️	\U0001F476\U0001F3FE\U0000FE0F	U+1F476 U+1F3FE	baby: medium-dark skin tone
113.png	baby: dark skin tone	👶🏿️	\U0001F476\U0001F3FF\U0000FE0F	U+1F476 U+1F3FF	baby: dark skin tone
114.png	child	🧒️	\U0001F9D2\U0000FE0F	U+1F9D2	child
115.png	child: light skin tone	🧒🏻️	\U0001F9D2\U0001F3FB\U0000FE0F	U+1F9D2 U+1F3FB	child: light skin tone
116.png	child: medium-light skin tone	🧒🏼️	\U0001F9D2\U0001F3FC\U0000FE0F	U+1F9D2 U+1F3FC	child: medium-light skin tone
117.png	child: medium skin tone	🧒🏽️	\U0001F9D2\U0001F3FD\U0000FE0F	U+1F9D2 U+1F3FD	child: medium skin tone
118.png	child: medium-dark skin tone	🧒🏾️	\U0001F9D2\U0001F3FE\U0000FE0F	U+1F9D2 U+1F3FE	child: medium-dark skin tone
119.png	child: dark skin tone	🧒🏿️	\U0001F9D2\U0001F3FF\U0000FE0F	U+1F9D2 U+1F3FF	child: dark skin tone
120.png	boy	👦️	\U0001F466\U0000FE0F	U+1F466	boy
121.png	boy: light skin tone	👦🏻️	\U0001F466\U0001F3FB\U0000FE0F	U+1F466 U+1F3FB	boy: light skin tone
122.png	boy: medium-light skin tone	👦🏼️	\U0001F466\U0001F3FC\U0000FE0F	U+1F466 U+1F3FC	boy: medium-light skin tone
123.png	boy: medium skin tone	👦🏽️	\U0001F466\U0001F3FD\U0000FE0F	U+1F466 U+1F3FD	boy: medium skin tone
124.png	boy: medium-dark skin tone	👦🏾️	\U0001F466\U0001F3FE\U0000FE0F	U+1F466 U+1F3FE	boy: medium-dark skin tone
125.png	boy: dark skin tone	👦🏿️	\U0001F466\U0001F3FF\U0000FE0F	U+1F466 U+1F3FF	boy: dark skin tone
126.png	girl	👧️	\U0001F467\U0000FE0F	U+1F467	girl
127.png	girl: light skin tone	👧🏻️	\U0001F467\U0001F3FB\U0000FE0F	U+1F467 U+1F3FB	girl: light skin tone
128.png	girl: medium-light skin tone	👧🏼️	\U0001F467\U0001F3FC\U0000FE0F	U+1F467 U+1F3FC	girl: medium-light skin tone
129.png	girl: medium skin tone	👧🏽️	\U0001F467\U0001F3FD\U0000FE0F	U+1F467 U+1F3FD	girl: medium skin tone
130.png	girl: medium-dark skin tone	👧🏾️	\U0001F467\U0001F3FE\U0000FE0F	U+1F467 U+1F3FE	girl: medium-dark skin tone
131.png	girl: dark skin tone	👧🏿️	\U0001F467\U0001F3FF\U0000FE0F	U+1F467 U+1F3FF	girl: dark skin tone
